question,model,runs,ok_runs,avg_time_sec,min_time_sec,max_time_sec,avg_tps,avg_distinct_2,avg_len_words,example_1,example_2,example_3
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,phi3:mini,2,2,24.93,24.001,25.858,4.46,1.0,20.66,"Quelle partie du paysage botanique est mise en évidence, le sol sombre ou les bords verts et marqués ?","Dans une représentation artistique d'une plante, quel élément attire davantage l'attention : la couleur noire de la terre ou les traits colorés du feuillage ?",La mise en valeur dans un dessin botanique se concentre-t-elle sur le sol sombre ou les contours distincts des plantes vivaces ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,qwen2:1.5b-instruct,2,2,10.34,8.366,12.313,10.47,1.0,15.17,Quel est le fond noir dans cette image ?,Est-ce que le contour de la plante est mis en valeur dans cette photo ?,Dans quelle partie de l'image figure-t-il : le fond noir ou le contour de la plante ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,gemma2:2b,2,2,19.266,15.66,22.872,6.17,1.0,19.84,Quelle partie du dessin est mise en valeur: le fond noir ou le contour de la plante?,"Dans un dessin, quel élément principal est souligné: le fond noir ou les contours de la plante?",Est-ce que l'élément mis en avant dans un dessin est le fond noir ou le contour de la plante?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,stablelm2:1.6b,2,2,13.738,11.085,16.391,11.07,1.0,27.0,"La question est restituée dans un format plus simple et concis : ""Est-ce que le fond ou le contour de la plante est coloré ?","De même, en une phrase courte : ""La plante n'est pas colorée à l'extérieur.","Enfin, en une seule phrase : ""Le fond et le contour de la plante ne sont pas colorés."
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,aroxima/gte-qwen2-1.5b-instruct:q5_k_m,2,2,15.401,10.89,19.911,11.18,1.0,22.0,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ? ...,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ? ... ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,phi3,2,2,33.623,25.664,41.581,4.48,0.99,19.5,"Quel élément, le fond sombre ou les bords de la plante, est souligné dans l'image présentée ?","Dans une représentation visuelle d’une plante, qu’est-ce qui attire notre attention : son arrière-plan noir ou ses limites colorées ?",L'attrait visuel de la photo met en évidence le fond sombre ou les contours distincts de la plante ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,tinydolphin,2,2,10.089,6.736,13.443,15.07,1.0,16.0,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ? ...,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ? ... ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,tinyllama,2,2,9.913,7.903,11.923,15.3,1.0,21.34,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ? ...,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ? ... ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,qwen2.5:3b-instruct-q4_K_M,2,2,19.895,12.181,27.609,7.07,1.0,21.17,Qu'est-ce qui est mis en valeur dans un dessin monochrome : le fond noir ou les contours des formes végétales ?,"Dans une illustration où le fond est noir, est-ce le contour des plantes qui sont mis en avant ou bien la couleur du fond elle-même ?",Est-ce le fond noir ou les lignes séparant les plantes ce qui est souligné dans un dessin ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,noushermes_rag,2,2,45.28,36.705,53.855,3.35,0.99,26.16,La couleur du dessin met-elle en avant le fond sombre ou les contours des fleurs ?,Le dessin coloré met-il en avant le fond noir ou les bords des plantes ?,"Combien est-ce qui est plus visible, le fond noir ou les lignes de délimitation des fleurs ?"
